hanzi;pinyin;meaning;hsk_level
皇帝;huángdì;Emperor;6
皇后;huánghòu;Queen;6
晃;huǎng;shake;6
恍然大悟;huǎngrándàwù;See light suddenly;6
挥霍;huīhuò;"splurge; devour";6
辉煌;huīhuáng;brilliant;6
回报;huíbào;Return;6
回避;huíbì;"obviate; slide over";6
;;;
回顾;huígù;"review; look back";6
回收;huíshōu;recovery;6
悔恨;huǐhèn;Regret;6
毁灭;huǐmiè;Ruin;6
会晤;huìwù;Meet;6
汇报;huìbào;report;6
贿赂;huìlù;bribery;6
昏迷;hūnmí;coma;6
荤;hūn;meat;6
浑身;húnshēn;All;6
混合;hùnhé;blend;6
混乱;hùnluàn;confusion;6
混淆;hùnxiáo;confusion;6
混浊;hùnzhuó;Turbidity;6
活该;huógāi;You deserves it;6
活力;huólì;"energy; vigor";6
火箭;huǒjiàn;rocket;6
火焰;huǒyàn;flame;6
火药;huǒyào;gunpowder;6
货币;huòbì;currency;6
基地;jīdì;base;6
基金;jījīn;fund;6
基因;jīyīn;gene;6
机动;jīdòng;Maneuver;6
机构;jīgòu;mechanism;6
机灵;jīling;"wise; clever";6
机密;jīmì;Confidential;6
机械;jīxiè;Mechanics;6
机遇;jīyù;Opportunity;6
机智;jīzhì;"tactful; resourceful";6
激发;jīfā;inspire;6
激励;jīlì;inspirit;6
激情;jīqíng;Passion;6
饥饿;jī'è;hunger;6
讥笑;jīxiào;fleer;6
极端;jíduān;extreme;6
极限;jíxiàn;limit;6
即便;jíbiàn;even if;6
即将;jíjiāng;soon;6
级别;jíbié;level;6
疾病;jíbìng;disease;6
嫉妒;jídù;Envy;6
及早;jízǎo;as soon as possible;6
;;;
急功近利;jígōngjìnlì;Be anxious to achieve quick success and get instant benefits;6
急剧;jíjù;sharp;6
急切;jíqiè;"impatient eager; imperative";6
急于求成;jíyúqiúchéng;Be anxious for success;6
急躁;jízào;Impatient;6
籍贯;jíguàn;Place of origin;6
集团;jítuán;group;6
吉祥;jíxiáng;"lucky; auspicious";6
给予;jǐyǔ;give;6
寄托;jìtuō;"place on; consign or commit";6
继承;jìchéng;inherit;6
记性;jìxing;memory;6
记载;jìzǎi;Record;6
季度;jìdù;quarter (of a year);6
季军;jìjūn;Third place;6
计较;jìjiào;Regardless of;6
忌讳;jìhuì;Taboo;6
寂静;jìjìng;Silent;6
纪要;jìyào;summary;6
技巧;jìqiǎo;Skill;6
迹象;jìxiàng;Sign;6
家常;jiācháng;the daily life of a family;6
家伙;jiāhuo;Fellow;6
家属;jiāshǔ;family members;6
家喻户晓;jiāyùhùxiǎo;widely known;6
加工;jiāgōng;machining;6
加剧;jiājù;exacerbate;6
佳肴;jiāyáo;Delicacy;6
夹杂;jiāzá;Inclusion;6
煎;jiān;Fried;6
坚定;jiāndìng;Firm, steadfast;6
坚固;jiāngù;strong;6
坚韧;jiānrèn;"gritty; hard-bitten";6
坚实;jiānshí;solid;6
坚硬;jiānyìng;hard;6
监督;jiāndū;supervise;6
监视;jiānshì;Monitor;6
监狱;jiānyù;Prison;6
尖端;jiānduān;top end;6
尖锐;jiānruì;Sharp;6
艰难;jiānnán;difficult;6
拣;jiǎn;Pick;6
;;;
剪彩;jiǎncǎi;Ribbon-cutting;6
检讨;jiǎntǎo;A review;6
检验;jiǎnyàn;test;6
简化;jiǎnhuà;predigest;6
简陋;jiǎnlòu;simple and crude;6
简体字;jiǎntǐzì;simplified character;6
简要;jiǎnyào;in brief;6
溅;jiàn;splash;6
鉴别;jiànbié;differentiate;6
鉴定;jiàndìng;Appraisal;6
鉴于;jiànyú;In view of the fact that;6
间谍;jiàndié;espionage;6
间隔;jiàngé;interval;6
间接;jiànjiē;indirect;6
见多识广;jiànduōshíguǎng;Have great experience;6
见解;jiànjiě;Opinion;6
见闻;jiànwén;Informative;6
见义勇为;jiànyìyǒngwéi;Do boldly what is righteous;6
健全;jiànquán;sound;6
践踏;jiàntà;override;6
舰艇;jiàntǐng;Naval vessels;6
剑;jiàn;sword;6
将近;jiāngjìn;nearly;6
将军;jiāngjūn;General;6
将就;jiāng jiù;put up with;6
僵硬;jiāngyìng;stiff;6
桨;jiǎng;propeller;6
奖励;jiǎnglì;reward;6
奖赏;jiǎngshǎng;reward;6
降临;jiànglín;"become of; befall; arrive";6
交叉;jiāochā;intercross;6
交代;jiāodài;hand over;6
交涉;jiāoshè;Negotiate;6
交易;jiāoyì;transaction;6
焦点;jiāodiǎn;focus;6
焦急;jiāojí;anxious;6
娇气;jiāoqì;effeminate;6
角落;jiǎoluò;corner;6
搅拌;jiǎobàn;mix up;6
缴纳;jiǎonà;Pay;6
侥幸;jiǎoxìng;by luck;6
教养;jiàoyǎng;"train; upbringing; education";6
较量;jiàoliàng;Contest;6
;;;
皆;jiē;all;6
接连;jiēlián;One after another;6
阶层;jiēcéng;stratum;6
揭露;jiēlù;Expose;6
节奏;jiézòu;rhythm;6
节制;jiézhì;dicipline;6
杰出;jiéchū;outstanding;6
结晶;jiéjīng;"result; finale";6
结局;jiéjú;Ending;6
结算;jiésuàn;Settlement;6
竭尽全力;jiéjìnquánlì;Strain every nerve;6
截至;jiézhì;By (time）;6
截止;jiézhǐ;due;6
解除;jiěchú;Relieve;6
解放;jiěfàng;liberate;6
解雇;jiěgù;fire;6
解剖;jiěpōu;anatomy;6
解散;jiěsàn;dissolution;6
解体;jiětǐ;Disintegrate;6
借鉴;jièjiàn;take example by;6
借助;jièzhù;With the help of;6
戒备;jièbèi;Alert;6
界限;jièxiàn;limit;6
津津有味;jīnjīnyǒuwèi;Eat with appetite;6
金融;jīnróng;Finance;6
紧迫;jǐnpò;urgent;6
锦上添花;jǐnshàngtiānhuā;icing on the cake;6
进而;jìn'ér;and then;6
进攻;jìngōng;attack;6
进化;jìnhuà;evolution;6
进展;jìnzhǎn;"evolve; get along";6
近来;jìnlái;recently;6
浸泡;jìnpào;soak;6
晋升;jìnshēng;Promotion;6
茎;jīng;"stalk; stem";6
精打细算;jīngdǎxìsuàn;pinch pennies;6
精华;jīnghuá;"elite; distillate";6
精简;jīngjiǎn;"simplify; condense";6
精密;jīngmì;"exact; close";6
精确;jīngquè;"accurate; exact";6
精通;jīngtōng;Master, be good at;6
精心;jīngxīn;Elaborate;6
精益求精;jīngyìqiújīng;keep improving;6
;;;
精致;jīngzhì;delicate;6
经费;jīngfèi;funds;6
经纬;jīngwěi;longitude and latitude;6
惊动;jīngdòng;Disturb;6
惊奇;jīngqí;Be surprised;6
惊讶;jīngyà;surprised;6
兢兢业业;jīngjīngyèyè;cautious and conscientious;6
井;jǐng;well;6
警告;jǐnggào;warning;6
警惕;jǐngtì;Be vigilant;6
颈椎;jǐngzhuī;cervical vertebra;6
敬礼;jìnglǐ;Salute;6
敬业;jìngyè;dedication (work);6
境界;jìngjiè;"realm; extent reached";6
